477172,576037
477067,575901
473526,570464
473503,570460
473510,570444
473534,570436
470546,572082
470542,572114
470576,571990
470545,572142
470572,572108
470792,571253
470832,571158
470832,571124
470791,571268
472727,571881
472733,571887
472725,571894
472719,571887
473084,571831
473105,571810
473071,571873
473095,571849
473520,572349
473548,572346
473567,572340
482634,575303
482691,575325
475704,574668
475710,574650
475860,574704
475869,574688
475383,573281
475373,573268
476011,574722
476009,574739
475486,574613
475491,574596
478955,574649
478935,574648
478957,574652
478935,574670
478939,574672
478931,574654
478954,574669
478943,574606
478936,574569
479470,573184
479554,573217
480124,573464
480167,573503
480099,573518
480162,573517
470074,567952
470053,567952
470613,576947
470779,576996
472235,576758
472273,576552
473646,574451
473646,574466
473652,574378
473652,574369
473648,574418
473649,574602
473658,574606
473509,572891
473532,572892
476855,573448
476898,573454
476919,573481
476858,573459
476923,573422
470179,567957
470129,567955
476802,574742
476846,574660
475965,574895
475876,574881
470588,567655
470678,567587
475351,574231
475385,574269
476756,574561
476779,574536
476756,574723
476806,574637
477665,569549
477785,569543
476811,574825
476847,574777
477419,575046
477419,575082
477912,575164
477914,575246
471521,571884
471521,571815
470403,572045
470398,572042
470282,572462
470283,572471
470215,572481
470293,572546
470518,572510
470968,571910
470997,571882
470763,572659
470763,572536
470958,572424
470956,572445
471433,571778
471415,571698
471482,572466
471519,572466
472053,573541
472031,573549
471983,571579
471983,571576
471756,571773
471792,571765
471794,571954
471794,571911
471948,571481
472078,573636
472166,573695
472200,573681
471992,573562
472203,573617
472147,573632
472172,573659
472203,573620
472389,572839
472312,572783
473037,572463
473057,572467
472728,574127
472717,574153
472776,569908
472586,569854
472555,572247
472568,572328
472568,573799
472572,573838
472775,574039
472761,574064
472941,574368
472978,574384
472712,574164
472895,572901
472945,572849
473038,574821
473027,574997
473020,572476
473130,574298
473103,574285
473076,572202
473124,572189
473042,574297
473088,574320
473061,574258
473080,574337
473192,573950
473271,573951
473251,572513
473244,572509
473272,572076
473246,572066
473488,572950
472204,576754
472140,576741
468480,573389
